id,type,question,answer,expected_answer,expected_keywords,exact_match,semantic_keyword_f1,grounding_score,latency_ms,win,citations
q001,direct_fact,What is the purpose of the MITRE ATT&CK framework?,"The purpose of the MITRE ATT&CK framework is to serve as a globally accessible knowledge base of adversary tactics and techniques based on real-world observations, providing a foundation for developing specific threat models and methodologies in the private sector, government, and the cybersecurity community to improve cybersecurity effectiveness [Source: getting-started-with-attack:43].",MITRE ATT&CK is a knowledge base that categorizes adversary behavior into tactics and techniques based on real-world observations to help defenders understand and analyze attacker behaviors.,knowledge base|tactics|techniques|real-world|adversary behavior,0.000,0.800,0.800,2759.9,1,"[{""id"": ""getting-started-with-attack-162"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 1.0499999523162842, ""metadata"": {}}, {""id"": ""getting-started-with-attack-3"", ""source"": ""getting-started-with-attack"", ""page_num"": 3, ""score"": 0.9839041233062744, ""metadata"": {}}, {""id"": ""getting-started-with-attack-4"", ""source"": ""getting-started-with-attack"", ""page_num"": 3, ""score"": 0.9475217461585999, ""metadata"": {}}, {""id"": ""getting-started-with-attack-164"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.9076502323150635, ""metadata"": {}}, {""id"": ""getting-started-with-attack-163"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.8683911561965942, ""metadata"": {}}, {""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 42, ""score"": 0.7649053931236267, ""metadata"": {}}]"
q002,direct_fact,What is a tactic in the ATT&CK framework?,"In ATT&CK, a tactic is a category that represents the adversary’s technical objective or goal during an attack, such as defense evasion or initial access, and is used to organize related techniques within the framework [Source: getting-started-with-attack:18][Source: getting-started-with-attack:43].",A tactic represents the adversary's technical goal or objective—the 'why' behind an action in ATT&CK.,goal|objective|why|adversary,0.000,0.750,0.750,3951.0,1,"[{""id"": ""getting-started-with-attack-58"", ""source"": ""getting-started-with-attack"", ""page_num"": 18, ""score"": 0.884401261806488, ""metadata"": {}}, {""id"": ""getting-started-with-attack-126"", ""source"": ""getting-started-with-attack"", ""page_num"": 34, ""score"": 0.8769224286079407, ""metadata"": {}}, {""id"": ""getting-started-with-attack-162"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.8440465331077576, ""metadata"": {}}, {""id"": ""getting-started-with-attack-33"", ""source"": ""getting-started-with-attack"", ""page_num"": 11, ""score"": 0.7479034066200256, ""metadata"": {}}, {""id"": ""getting-started-with-attack-88"", ""source"": ""getting-started-with-attack"", ""page_num"": 25, ""score"": 0.7449409365653992, ""metadata"": {}}, {""id"": ""getting-started-with-attack-32"", ""source"": ""getting-started-with-attack"", ""page_num"": 11, ""score"": 0.7405685782432556, ""metadata"": {}}]"
q003,direct_fact,What is a technique in ATT&CK?,"In ATT&CK, a technique is a specific method or way that an adversary may use to achieve a particular goal during an attack, such as gaining access or executing malicious actions within a system [Source: getting-started-with-attack:29][Source: getting-started-with-attack:32].",A technique describes how an adversary achieves a tactical goal—the specific method used to carry out an action.,specific method|how|achieves|tactical goal,0.000,0.250,0.250,1292.7,0,"[{""id"": ""getting-started-with-attack-96"", ""source"": ""getting-started-with-attack"", ""page_num"": 27, ""score"": 0.9664378762245178, ""metadata"": {}}, {""id"": ""getting-started-with-attack-118"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.8912045359611511, ""metadata"": {}}, {""id"": ""getting-started-with-attack-108"", ""source"": ""getting-started-with-attack"", ""page_num"": 29, ""score"": 0.8602710366249084, ""metadata"": {}}, {""id"": ""getting-started-with-attack-123"", ""source"": ""getting-started-with-attack"", ""page_num"": 33, ""score"": 0.8233128190040588, ""metadata"": {}}, {""id"": ""getting-started-with-attack-117"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.7811980843544006, ""metadata"": {}}, {""id"": ""getting-started-with-attack-130"", ""source"": ""getting-started-with-attack"", ""page_num"": 36, ""score"": 0.7754688858985901, ""metadata"": {}}]"
q004,direct_fact,Why do defenders map detections to ATT&CK?,"Defenders map detections to ATT&CK to prioritize which adversary behaviors to defend against, inform their defenses with relevant threat intelligence, and focus on detecting and mitigating techniques that are commonly used by high-threat groups targeting their organization [Source: getting-started-with-attack:6][Source: getting-started-with-attack:10][Source: getting-started-with-attack:12].","Mapping detections to ATT&CK helps defenders describe activity consistently, identify coverage and gaps across tactics and techniques, and prioritize improvements.",coverage|gaps|prioritize|describe consistently,0.000,0.250,0.250,2192.7,0,"[{""id"": ""getting-started-with-attack-24"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 1.0162638425827026, ""metadata"": {}}, {""id"": ""getting-started-with-attack-14"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.9615468382835388, ""metadata"": {}}, {""id"": ""getting-started-with-attack-28"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.9214686155319214, ""metadata"": {}}, {""id"": ""getting-started-with-attack-25"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.8649782538414001, ""metadata"": {}}, {""id"": ""getting-started-with-attack-35"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.7818328738212585, ""metadata"": {}}, {""id"": ""getting-started-with-attack-58"", ""source"": ""getting-started-with-attack"", ""page_num"": 18, ""score"": 0.7760551571846008, ""metadata"": {}}]"
q005,direct_fact,How does ATT&CK support consistent communication among defenders?,"ATT&CK supports consistent communication among defenders by providing a standardized way to map and describe adversary behaviors, allowing teams to build a deep understanding of threats and prioritize defenses using a common language and framework [Source: getting-started-with-attack:11][Source: getting-started-with-attack:8].","ATT&CK provides a standardized vocabulary for describing adversary behavior, supporting consistency across teams and organizations.",standard vocabulary|consistency|describe behavior,0.000,0.000,0.000,2559.6,0,"[{""id"": ""getting-started-with-attack-77"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7274500727653503, ""metadata"": {}}, {""id"": ""getting-started-with-attack-33"", ""source"": ""getting-started-with-attack"", ""page_num"": 11, ""score"": 0.6917097568511963, ""metadata"": {}}, {""id"": ""getting-started-with-attack-24"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.6774262189865112, ""metadata"": {}}, {""id"": ""getting-started-with-attack-78"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.6687573194503784, ""metadata"": {}}, {""id"": ""getting-started-with-attack-9"", ""source"": ""getting-started-with-attack"", ""page_num"": 4, ""score"": 0.6667745113372803, ""metadata"": {}}, {""id"": ""getting-started-with-attack-25"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.6566142439842224, ""metadata"": {}}]"
q006,direct_fact,"According to the AI security paper, why are evaluations needed before deploying high-risk AI systems?","According to the AI security paper, evaluations are needed before deploying high-risk AI systems because AI subsystems may introduce new, unknown, and unique vulnerabilities that are largely unexplored, and tools are only emerging to identify and protect against these new and existing threats. Proper evaluation helps ensure that these vulnerabilities are understood and mitigated before deployment [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3].","High-risk AI systems can exhibit dangerous or unpredictable failure modes, so evaluations are needed before deployment to identify and mitigate risks proactively.",before deployment|dangerous|unpredictable|evaluate|mitigate,0.000,0.400,0.400,1328.3,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-68"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.7784637808799744, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-52"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.752860963344574, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.7490659952163696, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-15"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.7383768558502197, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.7279908061027527, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-49"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.7277218103408813, ""metadata"": {}}]"
q007,direct_fact,What challenge does the paper highlight about predicting the behavior of advanced AI systems?,"The paper highlights that predicting the behavior of advanced AI systems is challenging because AI can operate autonomously under its own agency, and the threats and risks differ based on how AI manifests in applications. This complexity is amplified by the potential for AI to develop sub-tasks with harmful priorities, often inspired by human-generated content, making it difficult to anticipate all possible outcomes and risks [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:2][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:4].","The paper states that advanced AI systems can display emergent and hard-to-predict behaviors, making traditional software security approaches insufficient.",emergent|hard to predict|traditional software insufficient,0.000,0.000,0.000,3878.1,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-28"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.8371257185935974, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-25"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.8177898526191711, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-58"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.7243620157241821, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-12"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 2, ""score"": 0.6858210563659668, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-68"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.6687998175621033, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-9"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 2, ""score"": 0.6566728353500366, ""metadata"": {}}]"
q008,direct_fact,What regulatory concern does the paper raise regarding over-regulating AI evaluations?,The provided documents do not contain enough information to answer that.,Over-regulation may create burdensome compliance processes and encourage checkbox behavior rather than genuine security improvements.,over-regulation|burdensome|checkbox|compliance,0.000,0.000,0.000,746.0,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.7992896437644958, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-43"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.7988215088844299, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-68"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.7667215466499329, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.7596437931060791, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-62"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.7359668612480164, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-31"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.7126062512397766, ""metadata"": {}}]"
q009,multi_hop,How can defenders use ATT&CK to evaluate their detection coverage?,"Defenders can use ATT&CK to measure their detection coverage by analyzing which techniques are covered by their tools or analytics and assessing the fidelity of those detections. They can expand their analysis to cover a large subset of the ATT&CK Matrix and categorize their coverage into levels such as low, some, or high confidence, helping to identify gaps and prioritize improvements in their defenses [Source: getting-started-with-attack:35][Source: getting-started-with-attack:31].","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",map detections|compare|coverage gaps|prioritize,0.000,0.250,0.250,1828.1,0,"[{""id"": ""getting-started-with-attack-24"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 1.0266849994659424, ""metadata"": {}}, {""id"": ""getting-started-with-attack-14"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.9097297787666321, ""metadata"": {}}, {""id"": ""getting-started-with-attack-28"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.8924701809883118, ""metadata"": {}}, {""id"": ""getting-started-with-attack-113"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.8125095367431641, ""metadata"": {}}, {""id"": ""getting-started-with-attack-35"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.7718512415885925, ""metadata"": {}}, {""id"": ""getting-started-with-attack-128"", ""source"": ""getting-started-with-attack"", ""page_num"": 35, ""score"": 0.7310135960578918, ""metadata"": {}}]"
q010,multi_hop,How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,"The AI security framework builds on existing cybersecurity models by recognizing that while traditional vulnerabilities can be addressed through established test, evaluation, and cybersecurity practices, AI subsystems introduce new and unique vulnerabilities that require additional tools and approaches. The framework suggests leveraging existing expertise and methodologies, such as those embodied in models like ATT&CK, while also developing new assurance and regulatory strategies specifically for AI systems [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:6].","The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",map behaviors|tactics|techniques|AI risks|integrate,0.000,0.000,0.000,2227.6,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-15"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 1.0319671630859375, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 1.0182737112045288, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-52"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.9220325946807861, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-25"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.9037504196166992, ""metadata"": {}}, {""id"": ""getting-started-with-attack-163"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.8757959008216858, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-94"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.8722450137138367, ""metadata"": {}}]"
