id,type,question,answer,expected_answer,expected_keywords,exact_match,semantic_keyword_f1,grounding_score,latency_ms,win,citations
q009,multi_hop,How can defenders use ATT&CK to evaluate their detection coverage?,"Defenders can use ATT&CK to evaluate their detection coverage by selecting a single technique to focus on, determining their coverage for that technique, and then making the appropriate engineering enhancements to start detecting it. By starting this way, defenders can practice how to practice detecting a technique and get a sense of how well they are doing.","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",map detections|compare|coverage gaps|prioritize,0.000,0.000,0.000,17763.4,0,"[{""id"": ""getting-started-with-attack-34"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.9719348549842834, ""metadata"": {}}, {""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.8028491735458374, ""metadata"": {}}, {""id"": ""getting-started-with-attack-164"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.5904483795166016, ""metadata"": {}}, {""id"": ""getting-started-with-attack-20"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.5882720351219177, ""metadata"": {}}, {""id"": ""getting-started-with-attack-165"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.5773879289627075, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.5351786017417908, ""metadata"": {}}]"
q010,multi_hop,How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,"The AI security framework is a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community. The framework is based on the ATT&CK knowledge base, which is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community. The framework is designed to help organizations understand the risks associated with AI and to develop effective security measures to mitigate those risks.","The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",map behaviors|tactics|techniques|AI risks|integrate,0.000,0.000,0.000,10581.4,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-34"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.9420675039291382, ""metadata"": {}}, {""id"": ""getting-started-with-attack-228"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.9373452663421631, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-20"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.9086195230484009, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.9058668613433838, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-132"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.8726218342781067, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.8618584871292114, ""metadata"": {}}]"
q011,multi_hop,How might AI evaluations reveal new adversarial techniques relevant to ATT&CK?,"Adversarial techniques are often discovered through adversary emulation, which involves simulating adversarial behavior in a controlled environment. By using ATT&CK as a knowledge base of real-world adversary behaviors, security teams can identify new techniques that are relevant to ATT&CK. This can help improve their coverage and help defenders better understand the

[Source: getting-started-with-attack:38]
relevant logs that you might not otherwise have access to. Graduating to the next level: Once you start implementing some of these changes and improving your coverage, the next step is to introduce adversary emulation, and in particular, atomic testing. Each time you prototype a new analytic, run a matching atomic test and see if you caught it. If you did, you can

[Source: getting-started-with-attack:10]
GETTING STARTED WITH ATT&CK: Threat Intelligence | Katie Nickels VIDEO INTRODUCING NAVIGATOR AND EXPLAINING HOW TO COMPARE LAYERS We can then aggregate the information to determine the techniques that are commonly used,","AI evaluations can expose ways AI might aid or automate adversarial steps, which can then be mapped to ATT&CK techniques to understand how AI-enabled threats fit existing models.",AI-enabled|mapped|techniques|automate|threats,0.000,0.200,0.200,21278.8,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-29"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.7325311899185181, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7172882556915283, ""metadata"": {}}, {""id"": ""getting-started-with-attack-196"", ""source"": ""getting-started-with-attack"", ""page_num"": 38, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.683802604675293, ""metadata"": {}}, {""id"": ""getting-started-with-attack-195"", ""source"": ""getting-started-with-attack"", ""page_num"": 38, ""score"": 0.6660232543945312, ""metadata"": {}}, {""id"": ""getting-started-with-attack-160"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.6251799464225769, ""metadata"": {}}]"
q012,needle,Find a passage describing why focusing only on post-deployment incidents is insufficient for AI security.,The passage describes the need for a comprehensive approach to AI security that includes both pre-deployment and post-deployment incidents.,"The paper explains that waiting for incidents is inadequate because failures in high-risk AI systems could be catastrophic, so proactive evaluation is necessary before deployment.",inadequate|waiting for incidents|catastrophic|proactive,0.000,0.000,0.000,3565.8,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-57"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-51"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.6970307230949402, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-65"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.6903517246246338, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.6332085728645325, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-103"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6317839622497559, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6227225065231323, ""metadata"": {}}]"
q013,needle,Locate a passage explaining how ATT&CK helps defenders identify gaps in their detection program.,"[Source: getting-started-with-attack:10]
GETTING STARTED WITH ATT&CK: Threat Intelligence | Katie Nickels VIDEO INTRODUCING NAVIGATOR AND EXPLAINING HOW TO COMPARE LAYERS We can then aggregate the information to determine the techniques that are commonly used, which can help defenders know what to prioritize. This lets us prioritize techniques and share with defenders what they should focus on. Justifying threat-based security improvements: 1. Assess how your defenses currently stack up to techniques and adversaries in ATT&CK 2. Identify the highest-priority gaps in your current coverage 3. Modify your defenses—or acquire new ones—to address those gaps THE ASSESSMENT AND ENGINEERING PROCESS The levels for assessments and engineering are cumulative. The assessment and engineering process is a cumulative process. The levels for assessments and engineering are cumulative. The assessment and engineering process is a cumulative process. The levels for assessments and engineering are cumulative. The assessment and engineering process","ATT&CK can reveal detection gaps by mapping detections to tactics and techniques, showing where coverage is missing across the adversary lifecycle.",detection gaps|mapping|lifecycle|coverage,0.000,0.250,0.250,20892.7,0,"[{""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.9783145189285278, ""metadata"": {}}, {""id"": ""getting-started-with-attack-161"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-22"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.6495566368103027, ""metadata"": {}}, {""id"": ""getting-started-with-attack-198"", ""source"": ""getting-started-with-attack"", ""page_num"": 39, ""score"": 0.5707469582557678, ""metadata"": {}}, {""id"": ""getting-started-with-attack-112"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.5683580636978149, ""metadata"": {}}, {""id"": ""getting-started-with-attack-50"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.5596867799758911, ""metadata"": {}}]"
q014,structure,List the high-level steps for using ATT&CK in a detection engineering process.,"1. Identify the techniques and procedures that you want to detect.
2. Use the provided context to understand the context of the techniques and procedures.
3. Use the provided context to understand the context of the techniques and procedures.
4. Use the provided context to understand the context of the techniques and procedures.
5. Use the provided context to understand the context of the techniques and procedures.
6. Use the provided context to understand the context of the techniques and procedures.
7. Use the provided context to understand the context of the techniques and procedures.
8. Use the provided context to understand the context of the techniques and procedures.
9. Use the provided context to understand the context of the techniques and procedures.
10. Use the provided context to understand the context of the techniques and procedures.
11. Use the provided context to understand the context of the techniques and procedures.
12. Use the provided context to understand the context of the techniques and procedures.
13. Use the provided context to understand the context of the techniques and procedures.
14. Use the provided context to understand the context of the techniques and procedures.
15. Use the provided context to understand the context of the techniques","Steps include identifying relevant threats, mapping behaviors to tactics and techniques, assessing current detection coverage, identifying gaps, and implementing new detections.",identify threats|map behaviors|coverage|gaps|implement detections,0.000,0.000,0.000,21333.3,0,"[{""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.9320197105407715, ""metadata"": {}}, {""id"": ""getting-started-with-attack-172"", ""source"": ""getting-started-with-attack"", ""page_num"": 33, ""score"": 0.8509020209312439, ""metadata"": {}}, {""id"": ""getting-started-with-attack-65"", ""source"": ""getting-started-with-attack"", ""page_num"": 14, ""score"": 0.7489851713180542, ""metadata"": {}}, {""id"": ""getting-started-with-attack-21"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-204"", ""source"": ""getting-started-with-attack"", ""page_num"": 40, ""score"": 0.645433783531189, ""metadata"": {}}, {""id"": ""getting-started-with-attack-112"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.6381862163543701, ""metadata"": {}}]"
q015,structure,What components form a sensible regulatory framework for AI security?,"A sensible regulatory framework for AI security includes regulatory considerations for AI as a component or a system, regulatory actions for safety, regulatory actions for accounting for what data is being used to train AI models, regulatory actions for licensing AI models, regulatory actions for strengthening the AI workforce, regulatory actions for continuous regulatory analysis of individual use cases, regulatory actions for regulatory action to change as aspects of the technology and use case change over time, and regulatory actions for legal frameworks to deter intentional and harmful AI misuse.","The framework includes defining systems in scope, establishing evaluation requirements, setting standards for testing and red teaming, and creating oversight and reporting mechanisms.",evaluation requirements|standards|oversight|reporting,0.000,0.000,0.000,11175.7,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.9694608449935913, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-60"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.9623718857765198, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-47"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.9028358459472656, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-86"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.8072391748428345, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.8032749891281128, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-3"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.7856014966964722, ""metadata"": {}}]"
q016,direct_fact,What is the ATT&CK technique level used for?,The ATT&CK technique level used for is Registry Run Keys/Startup Folder.,The technique level describes the specific actions adversaries take to achieve a broader tactical objective.,specific actions|achieve tactical objective,0.000,0.000,0.000,3314.5,0,"[{""id"": ""getting-started-with-attack-55"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.8236978650093079, ""metadata"": {}}, {""id"": ""getting-started-with-attack-17"", ""source"": ""getting-started-with-attack"", ""page_num"": 5, ""score"": 0.7596363425254822, ""metadata"": {}}, {""id"": ""getting-started-with-attack-18"", ""source"": ""getting-started-with-attack"", ""page_num"": 5, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-115"", ""source"": ""getting-started-with-attack"", ""page_num"": 23, ""score"": 0.6571300625801086, ""metadata"": {}}, {""id"": ""getting-started-with-attack-30"", ""source"": ""getting-started-with-attack"", ""page_num"": 7, ""score"": 0.630932629108429, ""metadata"": {}}, {""id"": ""getting-started-with-attack-151"", ""source"": ""getting-started-with-attack"", ""page_num"": 29, ""score"": 0.6247896552085876, ""metadata"": {}}]"
q017,direct_fact,Why does the AI security paper emphasize emergent behaviors?,"The AI security paper emphasizes emergent behaviors because AI systems are not designed to be predictable or to follow a pre-determined behavioral pattern. Instead, AI systems are designed to learn from their interactions with the environment and to adapt to new situations. This means that AI systems are not constrained by the same rules and

[Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:1]
2 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Contents Background ......................................................................................................................................................3 AI Threats and Risks

[Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:1]
2 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Contents Background ......................................................................................................................................................3 AI Threats and Risks

[Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:1]",Because emergent behaviors can lead to unexpected and potentially dangerous outcomes that are difficult to anticipate without structured evaluations.,emergent|unexpected|dangerous|evaluations,0.000,0.250,0.250,31438.0,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-116"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 10, ""score"": 0.8814892768859863, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-132"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.7171516418457031, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-135"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-34"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.662172794342041, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.618248701095581, ""metadata"": {}}, {""id"": ""getting-started-with-attack-188"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.5859102010726929, ""metadata"": {}}]"
q018,direct_fact,How does ATT&CK categorize adversary behavior?,"ATT&CK categorizes adversary behavior based on the techniques used to achieve the desired outcome. For example, a technique might be used to exploit a vulnerability, or to gain access to a system, or to exfiltrate data. The ATT&CK framework provides a comprehensive understanding of the techniques used by adversaries, and how they can be used to achieve their objectives.",ATT&CK categorizes adversary behavior through a matrix of tactics and techniques describing different stages and methods of an attack.,matrix|tactics|techniques|categorizes behavior,0.000,0.250,0.250,8522.0,0,"[{""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.8147293329238892, ""metadata"": {}}, {""id"": ""getting-started-with-attack-120"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-188"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.6785656213760376, ""metadata"": {}}, {""id"": ""getting-started-with-attack-121"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.6500657796859741, ""metadata"": {}}, {""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.598638653755188, ""metadata"": {}}, {""id"": ""getting-started-with-attack-99"", ""source"": ""getting-started-with-attack"", ""page_num"": 20, ""score"": 0.5578871369361877, ""metadata"": {}}]"
