id,type,question,answer,expected_answer,expected_keywords,exact_match,semantic_keyword_f1,grounding_score,latency_ms,win,citations
q009,multi_hop,How can defenders use ATT&CK to evaluate their detection coverage?,"Defenders can use ATT&CK to evaluate their detection coverage by mapping adversary information to ATT&CK techniques and then using that information to inform and prioritize their defenses. They can also refer to the ATT&CK website for ideas on detection and mitigation of specific techniques, helping them identify gaps and improve their coverage against relevant threats [Source: getting-started-with-attack:6][Source: getting-started-with-attack:8].","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",map detections|compare|coverage gaps|prioritize,0.000,0.250,0.250,7005.5,1,"[{""id"": ""getting-started-with-attack-24"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.9906740188598633, ""metadata"": {}}, {""id"": ""getting-started-with-attack-14"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.7817928791046143, ""metadata"": {}}]"
q010,multi_hop,How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,I don't know. The answer is not covered by the provided documents.,"The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",map behaviors|tactics|techniques|AI risks|integrate,0.000,0.000,0.000,932.3,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-15"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.9927868843078613, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.9827180504798889, ""metadata"": {}}]"
q011,multi_hop,How might AI evaluations reveal new adversarial techniques relevant to ATT&CK?,"AI evaluations, such as red team testing of AI-cyber systems using tools like those developed by MITRE and Microsoft, can uncover new adversarial tactics, techniques, and procedures. These findings can then be documented in frameworks like MITRE ATLAS, which helps inform and potentially expand resources like ATT&CK by capturing emerging threats specific to AI systems [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3].","AI evaluations can expose ways AI might aid or automate adversarial steps, which can then be mapped to ATT&CK techniques to understand how AI-enabled threats fit existing models.",AI-enabled|mapped|techniques|automate|threats,0.000,0.400,0.400,1970.9,1,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-16"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.8167020678520203, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-64"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.800000011920929, ""metadata"": {}}]"
q012,needle,Find a passage describing why focusing only on post-deployment incidents is insufficient for AI security.,I don't know. The answer is not covered by the provided documents.,"The paper explains that waiting for incidents is inadequate because failures in high-risk AI systems could be catastrophic, so proactive evaluation is necessary before deployment.",inadequate|waiting for incidents|catastrophic|proactive,0.000,0.000,0.000,1549.9,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-37"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.800000011920929, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-41"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.6835570335388184, ""metadata"": {}}]"
q013,needle,Locate a passage explaining how ATT&CK helps defenders identify gaps in their detection program.,"ATT&CK helps defenders identify gaps in their detection program by allowing them to compare their current coverage to techniques and adversaries in ATT&CK, identify the highest-priority gaps, and then modify or acquire defenses to address those gaps. The assessment and engineering process is cumulative and helps teams systematically improve their coverage, starting from Level 1 and building up [Source: getting-started-with-attack:31].","ATT&CK can reveal detection gaps by mapping detections to tactics and techniques, showing where coverage is missing across the adversary lifecycle.",detection gaps|mapping|lifecycle|coverage,0.000,0.250,0.250,2073.8,1,"[{""id"": ""getting-started-with-attack-28"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.8677065372467041, ""metadata"": {}}, {""id"": ""getting-started-with-attack-116"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.8238142728805542, ""metadata"": {}}]"
q014,structure,List the high-level steps for using ATT&CK in a detection engineering process.,"The high-level steps for using ATT&CK in a detection engineering process are: 1) Create a list of high-priority techniques to focus on, 2) Ensure you are collecting the right data to write analytics for those techniques, and 3) Build analytics and update your coverage chart accordingly [Source: getting-started-with-attack:38].","Steps include identifying relevant threats, mapping behaviors to tactics and techniques, assessing current detection coverage, identifying gaps, and implementing new detections.",identify threats|map behaviors|coverage|gaps|implement detections,0.000,0.200,0.200,2148.2,0,"[{""id"": ""getting-started-with-attack-137"", ""source"": ""getting-started-with-attack"", ""page_num"": 38, ""score"": 0.9323363900184631, ""metadata"": {}}, {""id"": ""getting-started-with-attack-113"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.9017782807350159, ""metadata"": {}}]"
q015,structure,What components form a sensible regulatory framework for AI security?,"A sensible regulatory framework for AI security includes governance mechanisms such as voluntary self-regulation and government-mandated policies and procedures, as well as regulatory instruments like bans, approvals, standards for design, liability standards, and third-party auditing and certification [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:6].","The framework includes defining systems in scope, establishing evaluation requirements, setting standards for testing and red teaming, and creating oversight and reporting mechanisms.",evaluation requirements|standards|oversight|reporting,0.000,0.250,0.250,1127.0,1,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.9714130163192749, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-43"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.9198540449142456, ""metadata"": {}}]"
q016,direct_fact,What is the ATT&CK technique level used for?,"The ATT&CK technique level is used to focus on specific adversary behaviors, allowing teams to assess and determine their coverage for individual techniques rather than attempting a broad assessment all at once [Source: getting-started-with-attack:32].",The technique level describes the specific actions adversaries take to achieve a broader tactical objective.,specific actions|achieve tactical objective,0.000,0.000,0.000,1230.1,0,"[{""id"": ""getting-started-with-attack-117"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.8002896308898926, ""metadata"": {}}, {""id"": ""getting-started-with-attack-13"", ""source"": ""getting-started-with-attack"", ""page_num"": 5, ""score"": 0.800000011920929, ""metadata"": {}}]"
q017,direct_fact,Why does the AI security paper emphasize emergent behaviors?,"The AI security paper emphasizes emergent behaviors because they pose risks if AI systems allow themselves to develop actions that were not explicitly intended by humans, potentially leading to dangerous outcomes. Addressing emergent behavior through AI alignment can help mitigate these risks as scientific and engineering advances are made [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:10].",Because emergent behaviors can lead to unexpected and potentially dangerous outcomes that are difficult to anticipate without structured evaluations.,emergent|unexpected|dangerous|evaluations,0.000,0.500,0.500,1840.8,1,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-96"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.800000011920929, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-82"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 10, ""score"": 0.7666208148002625, ""metadata"": {}}]"
q018,direct_fact,How does ATT&CK categorize adversary behavior?,I don't know. The answer is not covered by the provided documents.,ATT&CK categorizes adversary behavior through a matrix of tactics and techniques describing different stages and methods of an attack.,matrix|tactics|techniques|categorizes behavior,0.000,0.000,0.000,494.4,0,"[{""id"": ""getting-started-with-attack-86"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.800000011920929, ""metadata"": {}}, {""id"": ""getting-started-with-attack-77"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.6757760643959045, ""metadata"": {}}]"
